Index,Year,Level,Sport,First Place,First Place Hometown,Second Place,Second Place Hometown,Third Place,Third Place Hometown,Fourth Place,Fourth Place Hometown,Win Streak
238,1947,College,Baseball (M),California Golden Bears,"San Francisco Bay Area, CA",Yale Bulldogs,"New Haven, CT",New York University Violets,New York Metro Area,Texas Longhorns,"Austin, TX",1
246,1948,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Yale Bulldogs,"New Haven, CT",Lafayette Leopards,"Lehigh Valley, NJ-PA",Baylor Bears,"Waco, TX",1
254,1949,College,Baseball (M),Texas Longhorns,"Austin, TX",Wake Forest Demon Deacons,"Winston-Salem, NC",Wake Forest Demon Deacons,"Winston-Salem, NC",USC Trojans,"Greater Los Angeles, CA",1
262,1950,College,Baseball (M),Texas Longhorns,"Austin, TX",Washington State Cougars,"Pullman, WA",Rutgers Scarlet Knights,"New Brunswick, NJ",Wisconsin Badgers,"Madison, WI",2
270,1951,College,Baseball (M),Oklahoma Sooners,"Oklahoma City, OK",Tennessee Volunteers,"Knoxville, TN",USC Trojans,"Greater Los Angeles, CA",Utah Utes,"Salt Lake City, UT",1
278,1952,College,Baseball (M),Holy Cross Crusaders,"Worcester, MA",Missouri Tigers,"Columbia, MO",Penn State Nittany Lions,"State College, PA",Western Michigan Broncos,"Kalamazoo, MI",1
286,1953,College,Baseball (M),Michigan Wolverines,"Ann Arbor, MI",Texas Longhorns,"Austin, TX",Michigan Wolverines,"Ann Arbor, MI",Boston College Eagles,"Greater Boston, MA",1
294,1954,College,Baseball (M),Missouri Tigers,"Columbia, MO",Rollins Tars,"Greater Orlando, FL",Michigan State Spartans,"East Lansing, MI",Oklahoma State Cowboys,"Stillwater, OK",1
303,1955,College,Baseball (M),Wake Forest Demon Deacons,"Winston-Salem, NC",Western Michigan Broncos,"Kalamazoo, MI",Arizona Wildcats,"Tucson, AZ",Oklahoma State Cowboys,"Stillwater, OK",1
311,1956,College,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",Arizona Wildcats,"Tucson, AZ",Bradley Braves,"Peoria, IL",Ole Miss Rebels,"Oxford, MS",1
319,1957,College,Baseball (M),California Golden Bears,"San Francisco Bay Area, CA",Penn State Nittany Lions,"State College, PA",Iowa State Cyclones,"Ames, IA",Notre Dame Fighting Irish,"Notre Dame, IN",1
328,1958,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Missouri Tigers,"Columbia, MO",Western Michigan Broncos,"Kalamazoo, MI",Holy Cross Crusaders,"Worcester, MA",1
337,1959,College,Baseball (M),Oklahoma State Cowboys,"Stillwater, OK",Arizona Wildcats,"Tucson, AZ",Penn State Nittany Lions,"State College, PA",Fresno State Bulldogs,"Fresno, CA",1
345,1960,College,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",USC Trojans,"Greater Los Angeles, CA",Arizona Wildcats,"Tucson, AZ",Oklahoma State Cowboys,"Stillwater, OK",1
354,1961,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Oklahoma State Cowboys,"Stillwater, OK",Syracuse Orange,"Syracuse, NY",Boston College Eagles,"Greater Boston, MA",1
363,1962,College,Baseball (M),Michigan Wolverines,"Ann Arbor, MI",Santa Clara Broncos,"San Jose-Santa Clara, CA",Florida State Seminoles,"Tallahassee, FL",Texas Longhorns,"Austin, TX",1
371,1963,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona Wildcats,"Tucson, AZ",Texas Longhorns,"Austin, TX",Missouri Tigers,"Columbia, MO",1
379,1964,College,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",Missouri Tigers,"Columbia, MO",Maine Black Bears,"Orono, ME",USC Trojans,"Greater Los Angeles, CA",1
389,1965,College,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Ohio State Buckeyes,"Columbus, OH",Saint Louis Billikens,"St. Louis, MO",Washington State Cougars,"Pullman, WA",1
398,1966,College,Baseball (M),Ohio State Buckeyes,"Columbus, OH",Oklahoma State Cowboys,"Stillwater, OK",USC Trojans,"Greater Los Angeles, CA",St. John's Red Storm,New York Metro Area,1
408,1967,College,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Houston Cougars,"Houston, TX",Stanford Cardinal,"San Francisco Bay Area, CA",Auburn Tigers,"Auburn, AL",1
416,1968,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Southern Illinois Salukis,"Carbondale, IL",North Carolina State Wolfpack,"Greater Raleigh, NC",St. John's Red Storm,New York Metro Area,1
424,1969,College,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Tulsa Golden Hurricane,"Tulsa, OK",New York University Violets,New York Metro Area,Texas Longhorns,"Austin, TX",1
432,1970,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",Texas Longhorns,"Austin, TX",Ohio Bobcats,"Athens, OH",1
442,1971,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Southern Illinois Salukis,"Carbondale, IL",Tulsa Golden Hurricane,"Tulsa, OK",UTRGV Vaqueros,"Edinburg, TX",2
450,1972,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",Temple Owls,"Greater Philadelphia, PA",Texas Longhorns,"Austin, TX",3
458,1973,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",Minnesota Golden Gophers,"Twin Cities, MN",Texas Longhorns,"Austin, TX",4
467,1974,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Miami Hurricanes,"Greater Miami Area, FL",Southern Illinois Salukis,"Carbondale, IL",Texas Longhorns,"Austin, TX",5
476,1975,College,Baseball (M),Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC",Arizona Wildcats,"Tucson, AZ",Oklahoma Sooners,"Oklahoma City, OK",1
484,1976,College,Baseball (M),Arizona Wildcats,"Tucson, AZ",Eastern Michigan Eagles,"Ann Arbor, MI",Arizona State Sun Devils,"Metro Phoenix, AZ",Maine Black Bears,"Orono, ME",1
492,1977,College,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",South Carolina Gamecocks,"Columbia, SC",Southern Illinois Salukis,"Carbondale, IL",Cal State Los Angeles Golden Eagles,"Greater Los Angeles, CA",1
500,1978,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",North Carolina Tar Heels,"Greater Raleigh, NC",Miami Hurricanes,"Greater Miami Area, FL",1
510,1979,College,Baseball (M),Cal State Fullerton Titans,"Greater Los Angeles, CA",Arkansas Razorbacks,"Northwest Arkansas, AR",Texas Longhorns,"Austin, TX",Pepperdine Waves,"Greater Los Angeles, CA",1
519,1980,College,Baseball (M),Arizona Wildcats,"Tucson, AZ",Hawaii Warriors,"Honolulu, HI",Miami Hurricanes,"Greater Miami Area, FL",Cal State Los Angeles Golden Eagles,"Greater Los Angeles, CA",1
528,1981,College,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Oklahoma State Cowboys,"Stillwater, OK",Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC",1
539,1982,College,Baseball (M),Miami Hurricanes,"Greater Miami Area, FL",Wichita State Shockers,"Wichita, KS",Maine Black Bears,"Orono, ME",Texas Longhorns,"Austin, TX",1
551,1983,College,Baseball (M),Texas Longhorns,"Austin, TX",Alabama Crimson Tide,"Tuscaloosa, AL",Michigan Wolverines,"Ann Arbor, MI",Arizona State Sun Devils,"Metro Phoenix, AZ",1
563,1984,College,Baseball (M),Cal State Fullerton Titans,"Greater Los Angeles, CA",Texas Longhorns,"Austin, TX",Oklahoma State Cowboys,"Stillwater, OK",Arizona State Sun Devils,"Metro Phoenix, AZ",1
575,1985,College,Baseball (M),Miami Hurricanes,"Greater Miami Area, FL",Texas Longhorns,"Austin, TX",Arkansas Razorbacks,"Northwest Arkansas, AR",Mississippi State Bulldogs,"Starkville, MS",1
587,1986,College,Baseball (M),Arizona Wildcats,"Tucson, AZ",Florida State Seminoles,"Tallahassee, FL",Miami Hurricanes,"Greater Miami Area, FL",Oklahoma State Cowboys,"Stillwater, OK",1
599,1987,College,Baseball (M),Stanford Cardinal,"San Francisco Bay Area, CA",Oklahoma State Cowboys,"Stillwater, OK",Texas Longhorns,"Austin, TX",LSU Fighting Tigers,"Baton Rouge, LA",1
611,1988,College,Baseball (M),Stanford Cardinal,"San Francisco Bay Area, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",Wichita State Shockers,"Wichita, KS",Cal State Fullerton Titans,"Greater Los Angeles, CA",2
623,1989,College,Baseball (M),Wichita State Shockers,"Wichita, KS",Texas Longhorns,"Austin, TX",Florida State Seminoles,"Tallahassee, FL",LSU Fighting Tigers,"Baton Rouge, LA",1
635,1990,College,Baseball (M),Georgia Bulldogs,"Athens, GA",Oklahoma State Cowboys,"Stillwater, OK",Stanford Cardinal,"San Francisco Bay Area, CA",LSU Fighting Tigers,"Baton Rouge, LA",1
648,1991,College,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Wichita State Shockers,"Wichita, KS",Florida Gators,"Gainesville, FL",Creighton Bluejays,"Omaha, NE",1
661,1992,College,Baseball (M),Pepperdine Waves,"Greater Los Angeles, CA",Cal State Fullerton Titans,"Greater Los Angeles, CA",Miami Hurricanes,"Greater Miami Area, FL",Texas Longhorns,"Austin, TX",1
672,1993,College,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Wichita State Shockers,"Wichita, KS",Long Beach State 49ers,"Greater Los Angeles, CA",Oklahoma State Cowboys,"Stillwater, OK",1
684,1994,College,Baseball (M),Oklahoma Sooners,"Oklahoma City, OK",Georgia Tech Yellow Jackets,"Atlanta, GA",Cal State Fullerton Titans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",1
696,1995,College,Baseball (M),Cal State Fullerton Titans,"Greater Los Angeles, CA",USC Trojans,"Greater Los Angeles, CA",Miami Hurricanes,"Greater Miami Area, FL",Tennessee Volunteers,"Knoxville, TN",1
708,1996,College,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Miami Hurricanes,"Greater Miami Area, FL",Clemson Tigers,"Greenville, SC",Florida Gators,"Gainesville, FL",1
720,1997,College,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Alabama Crimson Tide,"Tuscaloosa, AL",Miami Hurricanes,"Greater Miami Area, FL",Stanford Cardinal,"San Francisco Bay Area, CA",2
734,1998,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",LSU Fighting Tigers,"Baton Rouge, LA",Long Beach State 49ers,"Greater Los Angeles, CA",1
748,1999,College,Baseball (M),Miami Hurricanes,"Greater Miami Area, FL",Florida State Seminoles,"Tallahassee, FL",Alabama Crimson Tide,"Tuscaloosa, AL",Stanford Cardinal,"San Francisco Bay Area, CA",1
760,2000,College,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Stanford Cardinal,"San Francisco Bay Area, CA",Louisiana Ragin' Cajuns,"Lafayette, LA",Florida State Seminoles,"Tallahassee, FL",1
774,2001,College,Baseball (M),Miami Hurricanes,"Greater Miami Area, FL",Stanford Cardinal,"San Francisco Bay Area, CA",Cal State Fullerton Titans,"Greater Los Angeles, CA",Tennessee Volunteers,"Knoxville, TN",1
787,2002,College,Baseball (M),Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC",Stanford Cardinal,"San Francisco Bay Area, CA",Clemson Tigers,"Greenville, SC",1
800,2003,College,Baseball (M),Rice Owls,"Houston, TX",Stanford Cardinal,"San Francisco Bay Area, CA",Texas Longhorns,"Austin, TX",Cal State Fullerton Titans,"Greater Los Angeles, CA",1
814,2004,College,Baseball (M),Cal State Fullerton Titans,"Greater Los Angeles, CA",Texas Longhorns,"Austin, TX",Georgia Bulldogs,"Athens, GA",South Carolina Gamecocks,"Columbia, SC",1
826,2005,College,Baseball (M),Texas Longhorns,"Austin, TX",Florida Gators,"Gainesville, FL",Arizona State Sun Devils,"Metro Phoenix, AZ",Baylor Bears,"Waco, TX",1
838,2006,College,Baseball (M),Oregon State Beavers,"Corvallis, OR",North Carolina Tar Heels,"Greater Raleigh, NC",Cal State Fullerton Titans,"Greater Los Angeles, CA",Rice Owls,"Houston, TX",1
851,2007,College,Baseball (M),Oregon State Beavers,"Corvallis, OR",North Carolina Tar Heels,"Greater Raleigh, NC",California-Irvine Anteaters,"Greater Los Angeles, CA",Rice Owls,"Houston, TX",2
865,2008,College,Baseball (M),Fresno State Bulldogs,"Fresno, CA",Georgia Bulldogs,"Athens, GA",Stanford Cardinal,"San Francisco Bay Area, CA",North Carolina Tar Heels,"Greater Raleigh, NC",1
877,2009,College,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Texas Longhorns,"Austin, TX",Arkansas Razorbacks,"Northwest Arkansas, AR",Arizona State Sun Devils,"Metro Phoenix, AZ",1
891,2010,College,Baseball (M),South Carolina Gamecocks,"Columbia, SC",UCLA Bruins,"Greater Los Angeles, CA",Texas Christian Horned Frogs,"Dallas-Fort Worth, TX",Clemson Tigers,"Greenville, SC",1
904,2011,College,Baseball (M),South Carolina Gamecocks,"Columbia, SC",Florida Gators,"Gainesville, FL",Virginia Cavaliers,"Charlottesville, VA",Vanderbilt Commodores,"Nashville, TN",2
917,2012,College,Baseball (M),Arizona Wildcats,"Tucson, AZ",South Carolina Gamecocks,"Columbia, SC",Florida State Seminoles,"Tallahassee, FL",Arkansas Razorbacks,"Northwest Arkansas, AR",1
929,2013,College,Baseball (M),UCLA Bruins,"Greater Los Angeles, CA",Mississippi State Bulldogs,"Starkville, MS",North Carolina Tar Heels,"Greater Raleigh, NC",Oregon State Beavers,"Corvallis, OR",1
941,2014,College,Baseball (M),Vanderbilt Commodores,"Nashville, TN",Virginia Cavaliers,"Charlottesville, VA",Texas Longhorns,"Austin, TX",Ole Miss Rebels,"Oxford, MS",1
955,2015,College,Baseball (M),Virginia Cavaliers,"Charlottesville, VA",Vanderbilt Commodores,"Nashville, TN",Florida Gators,"Gainesville, FL",Texas Christian Horned Frogs,"Dallas-Fort Worth, TX",1
968,2016,College,Baseball (M),Coastal Carolina Chanticleers,"Myrtle Beach Metro Area, SC",Arizona Wildcats,"Tucson, AZ",Oklahoma State Cowboys,"Stillwater, OK",Texas Christian Horned Frogs,"Dallas-Fort Worth, TX",1
981,2017,College,Baseball (M),Florida Gators,"Gainesville, FL",LSU Fighting Tigers,"Baton Rouge, LA",Oregon State Beavers,"Corvallis, OR",Texas Christian Horned Frogs,"Dallas-Fort Worth, TX",1
994,2018,College,Baseball (M),Oregon State Beavers,"Corvallis, OR",Arkansas Razorbacks,"Northwest Arkansas, AR",Mississippi State Bulldogs,"Starkville, MS",Florida Gators,"Gainesville, FL",1
187,1939,College,Basketball (M),Oregon Ducks,"Eugene, OR",Ohio State Buckeyes,"Columbus, OH",Oklahoma Sooners,"Oklahoma City, OK",Villanova Wildcats,"Greater Philadelphia, PA",1
193,1940,College,Basketball (M),Indiana Hoosiers,"Bloomington, IN",Kansas Jayhawks,"Lawrence, KS",Duquesne Dukes,"Pittsburgh, PA",USC Trojans,"Greater Los Angeles, CA",1
199,1941,College,Basketball (M),Wisconsin Badgers,"Madison, WI",Washington State Cougars,"Pullman, WA",Pittsburgh Panthers,"Pittsburgh, PA",Arkansas Razorbacks,"Northwest Arkansas, AR",1
205,1942,College,Basketball (M),Stanford Cardinal,"San Francisco Bay Area, CA",Dartmouth Big Green,"Hanover, PA",Colorado Buffaloes,"Boulder, CO",Kentucky Wildcats,"Lexington-Fayette, KY",1
211,1943,College,Basketball (M),Wyoming Cowboys,"Cheyenne, WY",Georgetown Hoyas,"Washington, DC Metro Area",Texas Longhorns,"Austin, TX",DePaul Blue Demons,"Chicago, IL",1
217,1944,College,Basketball (M),Utah Utes,"Salt Lake City, UT",Dartmouth Big Green,"Hanover, PA",Iowa State Cyclones,"Ames, IA",Ohio State Buckeyes,"Columbus, OH",1
223,1945,College,Basketball (M),Oklahoma State Cowboys,"Stillwater, OK",New York University Violets,New York Metro Area,Arkansas Razorbacks,"Northwest Arkansas, AR",Ohio State Buckeyes,"Columbus, OH",1
229,1946,College,Basketball (M),Oklahoma State Cowboys,"Stillwater, OK",North Carolina Tar Heels,"Greater Raleigh, NC",Ohio State Buckeyes,"Columbus, OH",California Golden Bears,"San Francisco Bay Area, CA",2
235,1947,College,Basketball (M),Holy Cross Crusaders,"Worcester, MA",Oklahoma Sooners,"Oklahoma City, OK",Texas Longhorns,"Austin, TX",City College of New York Beavers,New York Metro Area,1
243,1948,College,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Baylor Bears,"Waco, TX",Holy Cross Crusaders,"Worcester, MA",Kansas State Wildcats,"Manhattan, KS",1
251,1949,College,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Oklahoma State Cowboys,"Stillwater, OK",Illinois Fighting Illini,"Champaign-Urbana, IL",Oregon State Beavers,"Corvallis, OR",2
259,1950,College,Basketball (M),City College of New York Beavers,New York Metro Area,Bradley Braves,"Peoria, IL",North Carolina State Wolfpack,"Greater Raleigh, NC",Baylor Bears,"Waco, TX",1
267,1951,College,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Kansas State Wildcats,"Manhattan, KS",Illinois Fighting Illini,"Champaign-Urbana, IL",Oklahoma State Cowboys,"Stillwater, OK",1
275,1952,College,Basketball (M),Kansas Jayhawks,"Lawrence, KS",St. John's Red Storm,New York Metro Area,Illinois Fighting Illini,"Champaign-Urbana, IL",Santa Clara Broncos,"San Jose-Santa Clara, CA",1
283,1953,College,Basketball (M),Indiana Hoosiers,"Bloomington, IN",Kansas Jayhawks,"Lawrence, KS",Washington Huskies,"Seattle,WA",LSU Fighting Tigers,"Baton Rouge, LA",1
291,1954,College,Basketball (M),La Salle Explorers,"Greater Philadelphia, PA",Bradley Braves,"Peoria, IL",Penn State Nittany Lions,"State College, PA",South Carolina Gamecocks,"Columbia, SC",1
300,1955,College,Basketball (M),San Francisco Dons,"San Francisco Bay Area, CA",La Salle Explorers,"Greater Philadelphia, PA",Colorado Buffaloes,"Boulder, CO",Iowa Hawkeyes,"Iowa City, IA",1
308,1956,College,Basketball (M),San Francisco Dons,"San Francisco Bay Area, CA",Iowa Hawkeyes,"Iowa City, IA",Temple Owls,"Greater Philadelphia, PA",Saint Mary's Gaels,"San Francisco Bay Area, CA",2
316,1957,College,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Kansas Jayhawks,"Lawrence, KS",San Francisco Dons,"San Francisco Bay Area, CA",Michigan State Spartans,"East Lansing, MI",1
325,1958,College,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Seattle Redhawks,"Seattle,WA",Temple Owls,"Greater Philadelphia, PA",Kansas State Wildcats,"Manhattan, KS",1
334,1959,College,Basketball (M),California Golden Bears,"San Francisco Bay Area, CA",West Virginia Mountaineers,"Morgantown, WV",Cincinnati Bearcats,"Cincinnati, OH",Louisville Cardinals,"Louisville, KY",1
342,1960,College,Basketball (M),Ohio State Buckeyes,"Columbus, OH",California Golden Bears,"San Francisco Bay Area, CA",Cincinnati Bearcats,"Cincinnati, OH",New York University Violets,New York Metro Area,1
351,1961,College,Basketball (M),Cincinnati Bearcats,"Cincinnati, OH",Ohio State Buckeyes,"Columbus, OH",,,Utah Utes,"Salt Lake City, UT",1
360,1962,College,Basketball (M),Cincinnati Bearcats,"Cincinnati, OH",Ohio State Buckeyes,"Columbus, OH",Wake Forest Demon Deacons,"Winston-Salem, NC",UCLA Bruins,"Greater Los Angeles, CA",2
368,1963,College,Basketball (M),Loyola Ramblers,"Chicago, IL",Cincinnati Bearcats,"Cincinnati, OH",Duke Blue Devils,"Greater Raleigh, NC",Oregon State Beavers,"Corvallis, OR",1
376,1964,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Duke Blue Devils,"Greater Raleigh, NC",Michigan Wolverines,"Ann Arbor, MI",Kansas State Wildcats,"Manhattan, KS",1
386,1965,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Michigan Wolverines,"Ann Arbor, MI",Princeton Tigers,"Princeton, NJ",Wichita State Shockers,"Wichita, KS",2
395,1966,College,Basketball (M),UTEP Miners,"El Paso, TX",Kentucky Wildcats,"Lexington-Fayette, KY",Duke Blue Devils,"Greater Raleigh, NC",Utah Utes,"Salt Lake City, UT",1
405,1967,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Dayton Flyers,"Dayton, OH",Houston Cougars,"Houston, TX",North Carolina Tar Heels,"Greater Raleigh, NC",1
413,1968,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",North Carolina Tar Heels,"Greater Raleigh, NC",Ohio State Buckeyes,"Columbus, OH",Houston Cougars,"Houston, TX",2
421,1969,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Purdue Boilermakers,"West Lafayette, IN",Drake Bulldogs,"Des Moines, IA",North Carolina Tar Heels,"Greater Raleigh, NC",3
429,1970,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Jacksonville Dolphins,"Jacksonville, FL",New Mexico State Aggies,"Las Cruces, NM",St. Bonaventure Bonnies,"Allegany, NY",4
439,1971,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Villanova Wildcats,"Greater Philadelphia, PA",Western Kentucky Hilltoppers,"Bowling Green, KY",Kansas Jayhawks,"Lawrence, KS",5
447,1972,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",North Carolina Tar Heels,"Greater Raleigh, NC",Louisville Cardinals,"Louisville, KY",6
455,1973,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Memphis Tigers,"Memphis, TN",Indiana Hoosiers,"Bloomington, IN",Providence Friars,"Providence, RI",7
464,1974,College,Basketball (M),North Carolina State Wolfpack,"Greater Raleigh, NC",Marquette Golden Eagles,"Milwaukee, WI",UCLA Bruins,"Greater Los Angeles, CA",Kansas Jayhawks,"Lawrence, KS",1
473,1975,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Kentucky Wildcats,"Lexington-Fayette, KY",Louisville Cardinals,"Louisville, KY",Syracuse Orange,"Syracuse, NY",1
481,1976,College,Basketball (M),Indiana Hoosiers,"Bloomington, IN",Michigan Wolverines,"Ann Arbor, MI",UCLA Bruins,"Greater Los Angeles, CA",Rutgers Scarlet Knights,"New Brunswick, NJ",1
489,1977,College,Basketball (M),Marquette Golden Eagles,"Milwaukee, WI",North Carolina Tar Heels,"Greater Raleigh, NC",Nevada-Las Vegas Rebels,"Las Vegas, NV",Charlotte 49ers,"Charlotte Metro Area, NC",1
497,1978,College,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Duke Blue Devils,"Greater Raleigh, NC",Arkansas Razorbacks,"Northwest Arkansas, AR",Notre Dame Fighting Irish,"Notre Dame, IN",1
507,1979,College,Basketball (M),Michigan State Spartans,"East Lansing, MI",Indiana State Sycamores,"Terre Haute, IN",DePaul Blue Demons,"Chicago, IL",Pennsylvania Quakers,"Greater Philadelphia, PA",1
516,1980,College,Basketball (M),Louisville Cardinals,"Louisville, KY",,,Purdue Boilermakers,"West Lafayette, IN",Iowa Hawkeyes,"Iowa City, IA",1
525,1981,College,Basketball (M),Indiana Hoosiers,"Bloomington, IN",North Carolina Tar Heels,"Greater Raleigh, NC",Virginia Cavaliers,"Charlottesville, VA",LSU Fighting Tigers,"Baton Rouge, LA",1
535,1982,College,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Georgetown Hoyas,"Washington, DC Metro Area",Houston Cougars,"Houston, TX",Louisville Cardinals,"Louisville, KY",1
547,1983,College,Basketball (M),North Carolina State Wolfpack,"Greater Raleigh, NC",Houston Cougars,"Houston, TX",Georgia Bulldogs,"Athens, GA",Louisville Cardinals,"Louisville, KY",1
559,1984,College,Basketball (M),Georgetown Hoyas,"Washington, DC Metro Area",Houston Cougars,"Houston, TX",Kentucky Wildcats,"Lexington-Fayette, KY",Virginia Cavaliers,"Charlottesville, VA",1
571,1985,College,Basketball (M),Villanova Wildcats,"Greater Philadelphia, PA",Georgetown Hoyas,"Washington, DC Metro Area",St. John's Red Storm,New York Metro Area,,,1
583,1986,College,Basketball (M),Louisville Cardinals,"Louisville, KY",Duke Blue Devils,"Greater Raleigh, NC",LSU Fighting Tigers,"Baton Rouge, LA",Kansas Jayhawks,"Lawrence, KS",1
595,1987,College,Basketball (M),Indiana Hoosiers,"Bloomington, IN",Syracuse Orange,"Syracuse, NY",Nevada-Las Vegas Rebels,"Las Vegas, NV",Providence Friars,"Providence, RI",1
607,1988,College,Basketball (M),Kansas Jayhawks,"Lawrence, KS",Oklahoma Sooners,"Oklahoma City, OK",Duke Blue Devils,"Greater Raleigh, NC",Arizona Wildcats,"Tucson, AZ",1
619,1989,College,Basketball (M),Michigan Wolverines,"Ann Arbor, MI",Seton Hall Pirates,"South Orange, NJ",Illinois Fighting Illini,"Champaign-Urbana, IL",Duke Blue Devils,"Greater Raleigh, NC",1
631,1990,College,Basketball (M),Nevada-Las Vegas Rebels,"Las Vegas, NV",Duke Blue Devils,"Greater Raleigh, NC",Georgia Tech Yellow Jackets,"Atlanta, GA",Arkansas Razorbacks,"Northwest Arkansas, AR",1
644,1991,College,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",Kansas Jayhawks,"Lawrence, KS",Nevada-Las Vegas Rebels,"Las Vegas, NV",North Carolina Tar Heels,"Greater Raleigh, NC",1
657,1992,College,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",,,Indiana Hoosiers,"Bloomington, IN",Cincinnati Bearcats,"Cincinnati, OH",2
669,1993,College,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",,,Kansas Jayhawks,"Lawrence, KS",Kentucky Wildcats,"Lexington-Fayette, KY",1
681,1994,College,Basketball (M),Arkansas Razorbacks,"Northwest Arkansas, AR",Duke Blue Devils,"Greater Raleigh, NC",Arizona Wildcats,"Tucson, AZ",Florida Gators,"Gainesville, FL",1
692,1995,College,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Arkansas Razorbacks,"Northwest Arkansas, AR",Oklahoma State Cowboys,"Stillwater, OK",North Carolina Tar Heels,"Greater Raleigh, NC",1
704,1996,College,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Syracuse Orange,"Syracuse, NY",Mississippi State Bulldogs,"Starkville, MS",,,1
717,1997,College,Basketball (M),Arizona Wildcats,"Tucson, AZ",Kentucky Wildcats,"Lexington-Fayette, KY",North Carolina Tar Heels,"Greater Raleigh, NC",,,1
731,1998,College,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Utah Utes,"Salt Lake City, UT",Stanford Cardinal,"San Francisco Bay Area, CA",North Carolina Tar Heels,"Greater Raleigh, NC",1
744,1999,College,Basketball (M),Connecticut Huskies,"Hartford, CT",Duke Blue Devils,"Greater Raleigh, NC",Michigan State Spartans,"East Lansing, MI",,,1
757,2000,College,Basketball (M),Michigan State Spartans,"East Lansing, MI",Florida Gators,"Gainesville, FL",Wisconsin Badgers,"Madison, WI",North Carolina Tar Heels,"Greater Raleigh, NC",1
770,2001,College,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",Arizona Wildcats,"Tucson, AZ",Maryland Terrapins,"Washington, DC Metro Area",Michigan State Spartans,"East Lansing, MI",1
783,2002,College,Basketball (M),Maryland Terrapins,"Washington, DC Metro Area",Indiana Hoosiers,"Bloomington, IN",Kansas Jayhawks,"Lawrence, KS",Oklahoma Sooners,"Oklahoma City, OK",1
